Q,A
라 과장님 아드님 미술숙제 때문에 이러는건 아는데요 저 진짜 그건 못해드려요 저 일도 바쁘고  ,영희씨 진짜 웃기네 내가 아들 숙제 때문에 부하직원한테 커피 사주면서 아부떠는 사람이라는거야? 안해줄거면 안해주는거지 사람을 뭘로 보고 그거 다시 내놔 그리고 나 기분나빠서 도저히 커피 못 사겠어 영희씨가 사 나 먼저 사무실 들어가 있을게 
여기요,저런 상사 비위맞추기가 참 힘들어요 그죠?
저런 상사 비위맞추기가 참 힘들어요 그죠?,네? 아 애는 뭐 워낙 시강 또라이라 그러려니 해요 좋은게 좋은거다 생각하고 참아야지 어쩌겠어요 
네? 아 애는 뭐 워낙 시강 또라이라 그러려니 해요 좋은게 좋은거다 생각하고 참아야지 어쩌겠어요 ,마음이 아주 그냥 부처님처럼 넓으세요 
마음이 아주 그냥 부처님처럼 넓으세요 ,주문하신 음료 나왔습니다
어 내가 취했나? 나 지금 헛 것 보는 거 아니지?,그러게요... 꿈은 아니겠죠?
하나 이름으로 상품권 보냈다고요?,"아니, 그렇다니까. 자긴 박교수님한테 홍보 물티슈 해줬는데 난 뭐 해줄 거 없나 고민하다가. 고로, 원장님 부탁때문이 아니라 제 선물을 받고. 제 선물을 받고 진교수 마음이 바뀐 거다, 라고 할 수 있죠."
"아니, 그렇다니까. 자긴 박교수님한테 홍보 물티슈 해줬는데 난 뭐 해줄 거 없나 고민하다가. 고로, 원장님 부탁때문이 아니라 제 선물을 받고. 제 선물을 받고 진교수 마음이 바뀐 거다, 라고 할 수 있죠.","그래? 민교수 처음으로 기특한 일 했네. 어이구 ,어이구. 잘했어, 잘했어, 잘했어요."
"그래? 민교수 처음으로 기특한 일 했네. 어이구 ,어이구. 잘했어, 잘했어, 잘했어요.","이재한 형사님, 전 오늘 처음으로 원장님께 칭찬받았어요. 여긴 마침내 살 만한 세상이 됐어요. 형사님 계신 곳도 살 만한가요?"
"이재한 형사님, 전 오늘 처음으로 원장님께 칭찬받았어요. 여긴 마침내 살 만한 세상이 됐어요. 형사님 계신 곳도 살 만한가요?","아, 웃겨, 웃겨. 웃겨."
"아, 웃겨, 웃겨. 웃겨.","아, 이거 뭐지? 어? 기분이 좋아 그런가봐. 오늘 그 성대모사 너무 웃기다."
"아, 이거 뭐지? 어? 기분이 좋아 그런가봐. 오늘 그 성대모사 너무 웃기다.","왜 이래요, 적응 안 되게."
영자씨.,왔어요? 간만에 미세먼지도 없고 해서 빨래했어요. 좀만 기다려요. 엄마가 삼계탕 갖다 줬는데 금방 끓여 줄게요. 우리 엄마가 큰 사위를 어찌나 챙기시는지.
왜 그러세요? 무슨 일 있으세요?,"아니요, 그냥."
오빠! 나 여깄어 욕실에서 샤워해 ,오 오 그래? 알았다규
영채야 ,아이 깜짝이야 
아이 깜짝이야 ,아 뭐야 아 왜 벌써 옷을 다 입은거냐규? 이럴때만 왜 이렇게 빠른건데?
아 뭐야 아 왜 벌써 옷을 다 입은거냐규? 이럴때만 왜 이렇게 빠른건데?,옷 안 입고 있으면 뭐하게?
옷 안 입고 있으면 뭐하게?,뭐하긴 같이 오랜만에 샤워 할라 그랬지 
뭐하긴 같이 오랜만에 샤워 할라 그랬지 ,뭐? 아우 뭐야 미쳤어? 미쳤나봐
뭐? 아우 뭐야 미쳤어? 미쳤나봐,왜? 아 부부끼리 샤워하는게 뭐 영채야 내 장미를 받아달라규
뭐야? ,어떻게 어떻게  
아이 근데 영채 얜 어디갔어?,아니 아까 들어왔다 그랬는데 
아니 아까 들어왔다 그랬는데 ,영채야 벌써 자냐?
영채야 벌써 자냐?,어? 나 여깄어 또 똥싸느라고  
어? 나 여깄어 또 똥싸느라고  ,근데 자고 온다더니 왜 벌써와?
근데 자고 온다더니 왜 벌써와?,야 니 고모집이 냉골이라 애들 감기 걸릴까봐 왔어 아휴 애들두 있는데 보일러도 안틀어주고 
야 니 고모집이 냉골이라 애들 감기 걸릴까봐 왔어 아휴 애들두 있는데 보일러도 안틀어주고 ,거 사람 참 아 보일러가 오래되서 그렇대잖아   
거 사람 참 아 보일러가 오래되서 그렇대잖아   ,아유 오래되긴 가스비 아낄라고 안튼거지 에휴 있는사람이 더 해 그냥
아유 오래되긴 가스비 아낄라고 안튼거지 에휴 있는사람이 더 해 그냥,그 사람 참!
그 사람 참!,아 그 그래 저기 아 날 추운데 애들 데리고 고생들 하셨네 얼른 들어가셔 쉬셔들
아 그 그래 저기 아 날 추운데 애들 데리고 고생들 하셨네 얼른 들어가셔 쉬셔들,아 뭐해? 혜진이 얼른 뉘지않고?
아 뭐해? 혜진이 얼른 뉘지않고?,어 어 알았어 
"영자씨, 순대볶음 사왔어.",너 당장 안 일어나?
너 당장 안 일어나?,이게 무슨 소리야?
이게 무슨 소리야?,"내가, 내가 이때까지 왜 참았는데, 어? 니가, 니가 어떻게 꿀벌이보다 꿀벌이 침대에 먼저 누워있어? 야 이 새끼야."
"내가, 내가 이때까지 왜 참았는데, 어? 니가, 니가 어떻게 꿀벌이보다 꿀벌이 침대에 먼저 누워있어? 야 이 새끼야.",영자씨.
영자씨.,"사, 사, 사장님."
"사, 사, 사장님.",야 이놈 시끼야. 너 뭐하는 짓이야?
야 이놈 시끼야. 너 뭐하는 짓이야?,"형, 뭐야? 형이 나 지금 때린거야?"
"형, 뭐야? 형이 나 지금 때린거야?","술 먹었음 곱게 쳐 잘것이지, 뭐야, 너."
"술 먹었음 곱게 쳐 잘것이지, 뭐야, 너.",내가 오늘 일 다 기억할거다? 내가 다 적어놓을거야.
내가 오늘 일 다 기억할거다? 내가 다 적어놓을거야.,"미안해요, 영자씨. 우리 집안에 이런 망나니 자식이 없는데. 야, 얌마, 일어나. 일어나."
"미안해요, 영자씨. 우리 집안에 이런 망나니 자식이 없는데. 야, 얌마, 일어나. 일어나.",너무 쌔게 때리진 마세요.
너무 쌔게 때리진 마세요.,"왜, 이놈자식 맞아도 싸지."
"왜, 이놈자식 맞아도 싸지.","아이, 그게 아니라. 술깨서 나중에 오늘일 다 기억하면 어떡해요."
"아이, 그게 아니라. 술깨서 나중에 오늘일 다 기억하면 어떡해요.",하긴. 그럼 방으로 옮겨야겠다.
나 가슴살 먹을게,땡큐 하나는 땡고추 하나는 치즈 궁합맞게 잘 시켰네 짜장면은 맛없는데서 시키더니 치킨은 맛집 전수 안해줘도 되겠네 
땡큐 하나는 땡고추 하나는 치즈 궁합맞게 잘 시켰네 짜장면은 맛없는데서 시키더니 치킨은 맛집 전수 안해줘도 되겠네 ,그쪽 준거 아닌데 먹고 싶으면 직접 시켜먹지 어 
그쪽 준거 아닌데 먹고 싶으면 직접 시켜먹지 어 ,치킨무 없는 닭은 와사비 없는 초밥 단무지 없는 자장면과 같을 텐데 
치킨무 없는 닭은 와사비 없는 초밥 단무지 없는 자장면과 같을 텐데 ,어 야 니가 그걸 왜 
어 야 니가 그걸 왜 ,아까 그 치킨 배달부가 깜박잊고 두고 갔다고 다시 왔더라고 
아까 그 치킨 배달부가 깜박잊고 두고 갔다고 다시 왔더라고 ,야이 야비하기는 우리가 당연히 받아야할 치킨무를 왜 인질로 삼냐 
야이 야비하기는 우리가 당연히 받아야할 치킨무를 왜 인질로 삼냐 ,내가 누구냐 서비스로 더 받아왔지. 자 각자 일인 일무씩들 해라 원래 치킨먹다 보면 무가 항상 모자라잖아 그치? 뭐 이정도면 나 치킨값을 한거 아닌가 자 
엄마 나 도넛츠 사줘,아유 나 몬산다 집에 가서 밥먹어 저딴거 먹지말고 
아유 나 몬산다 집에 가서 밥먹어 저딴거 먹지말고 ,아이 뭐요? 저딴거요? 
불은 살아있는데. 뭐가 문제지?,"할아버지께서는 말씀하셨습니다. 모든 연탄보일러에는 두가지 종류가 있다고, 연탄의 열기가 직접 구들을 데우는 방식과 연탄이 물을 데워 그 물이 방을 따듯하게 하는 방식 이 두가지가 있는데. 우리집의 경우 후자의 경우로 만약에 연탄을 갈았는데도 방이 따듯해지지않는다? 그럴 경우 문제는 바로"
동생아. 오늘 아침은 뭐니?,어. 형이 제일 좋아하는거.
어. 형이 제일 좋아하는거.,혹시? 라면정식?
혹시? 라면정식?,"어, 깔거 깔거 깔거!"
아빠는?,아빠! 아침드세요!
아빠! 아침드세요!,야들아 변기가 또 막힜다
야들아 변기가 또 막힜다,아후 저 밥 못 먹을것 같은데
아후 저 밥 못 먹을것 같은데,이 우짜면 좋노 이 뚫어뻥으로도 안 뚫리는데
이 우짜면 좋노 이 뚫어뻥으로도 안 뚫리는데,할아버지께서는 말씀하셨지. 똥이 땅에 가득하면 부귀를 누린다! 이거 올해도 왠지 느낌 좋은데요?
할아버지께서는 말씀하셨지. 똥이 땅에 가득하면 부귀를 누린다! 이거 올해도 왠지 느낌 좋은데요?,개똥같은 소리하지말고 빨리 와가  이 좀 어떻게 해봐라
포차?,"뭐야, 둘이 아는 사이였어?"
"뭐야, 둘이 아는 사이였어?",아니.
아니.,어.
어.,아는 사이라는 거야 아니라는 거야?
아는 사이라는 거야 아니라는 거야?,야 이영애 네가 얘 다단계 끌어들인 거냐?
야 이영애 네가 얘 다단계 끌어들인 거냐?,아니 그게 아니라... 근데 왜 반말이세요? 저를 언제 봤다고?
아니 그게 아니라... 근데 왜 반말이세요? 저를 언제 봤다고?,아... 진짜! 야... 나 기억 안 나? 조동혁!
아... 진짜! 야... 나 기억 안 나? 조동혁!,조동혁? 조동혁... 누구지?
조동혁? 조동혁... 누구지?,아... 조똥 기억 안 나?
아... 조똥 기억 안 나?,조똥? 발산 초등학교 2학년 그 조똥?!
조똥? 발산 초등학교 2학년 그 조똥?!,하하하 조똥이래 조똥.
하하하 조똥이래 조똥.,야.
야.,근데 너 키 많이 컸다. 옛날엔 작았었던 것 같은데.
근데 너 키 많이 컸다. 옛날엔 작았었던 것 같은데.,진짜요? 우리 삼촌이 조그맸어요?
진짜요? 우리 삼촌이 조그맸어요?,어. 아마 맨 앞 줄에 앉았을 걸? 맞지?
어. 아마 맨 앞 줄에 앉았을 걸? 맞지?,그건 기억나냐?
그건 기억나냐?,근데 왜 삼촌이 조똥이에요? 이름 땜에?
근데 왜 삼촌이 조똥이에요? 이름 땜에?,글쎄... 아마 그랬을 걸?
글쎄... 아마 그랬을 걸?,그건 기억 안 나냐?
그건 기억 안 나냐?,조동혁 조똥혁 조똥. 이랬던 거 아니야?
조동혁 조똥혁 조똥. 이랬던 거 아니야?,"근데 아줌마, 조똥 소리 그만하면 안 돼요?"
"근데 아줌마, 조똥 소리 그만하면 안 돼요?",왜? 삼촌 놀리는 거 같아서 기분 나빠?
왜? 삼촌 놀리는 거 같아서 기분 나빠?,아니요... 그건 기분 1도 안 나쁜데요. 똥똥 거리니깐 똥 마려워서요. 삼촌 나 좀 내려줘.
아니요... 그건 기분 1도 안 나쁜데요. 똥똥 거리니깐 똥 마려워서요. 삼촌 나 좀 내려줘.,여기 화장실이 어딨어 임마. 참아.
여기 화장실이 어딨어 임마. 참아.,참을 수 있는 성질의 것이 아니라고.
참을 수 있는 성질의 것이 아니라고.,돼 돼... 다 돼!
해독주스인지 뭔지 너무 많이 마셨나봐.,얼른 타. 가게 문 열 시간 다 됐어.
얼른 타. 가게 문 열 시간 다 됐어.,잠깐...
잠깐...,뭐야? 너도? 야야야야 빨리 타 빨리 타! 좀만 더 가면 주유소 있으니깐 내가...
뭐야? 너도? 야야야야 빨리 타 빨리 타! 좀만 더 가면 주유소 있으니깐 내가...,아유... 거기까지 갈 수 있는 가능한 시간이... 어우...
아유... 거기까지 갈 수 있는 가능한 시간이... 어우...,저 똥은 내가 잘 알아. 아줌마 빨리 가요.
저 똥은 내가 잘 알아. 아줌마 빨리 가요.,어딜 따라와!
빈대떡 먹고 싶다는 얘기 참 길게도 한다,아이 같이 드시고 가세요 제가 살게요
아이 같이 드시고 가세요 제가 살게요,산다고? 하하 아니 뭐 그럼 그럴까? 밥하기도 귀찮은데 
산다고? 하하 아니 뭐 그럼 그럴까? 밥하기도 귀찮은데 ,아이 그 저 앞에
아이 그 저 앞에,으히 가자
"아, 내년엔 합격해서 주연이 다시 만나 함께 보고 싶다. 이렇게 좋은 건 좋아하는 사람이랑 같이 봐야지.",그래. 나도 좋아하는 사람이랑 같이 보고 싶네.
그래. 나도 좋아하는 사람이랑 같이 보고 싶네.,그럼 난 이만 공부하러 간다.
그럼 난 이만 공부하러 간다.,"띠로리. 야, 야, 잠깐, 잠깐. Stop it. 야, 일로 와봐라. 박하나쌤이랑 진정석쌤 인증샷 올렸다. 같이 불꽃놀이 보러 갔는갑네."
"띠로리. 야, 야, 잠깐, 잠깐. Stop it. 야, 일로 와봐라. 박하나쌤이랑 진정석쌤 인증샷 올렸다. 같이 불꽃놀이 보러 갔는갑네.",뭐?
"안 괜찮아. 가는 곳마다 다 주연이랑 추억이 있는데 내가 괜찮겠냐, 어? 이 카페도 우리 주연이랑 자주 왔던 데야. 우리 주연인 여기서 늘 카페모카에 휘핑크림을 잔뜩 올려서 먹었지. 그리고 저 중국집도 주연이가 좋아했던 데야. 우리 주연인 저기서 늘 단무지에다가 식초를 꼭 부어서 먹었지. 저 모텔도 우리 주연이랑 갔던 덴데. 우리 주연인 저기만 가면",저기서 뭐. 어땠는데?
저기서 뭐. 어땠는데?,그걸 네가 왜 궁금해해?
그걸 네가 왜 궁금해해?,궁금하지도 않은 카페랑 중국집 얘기는 디테일하게 해놓고. 왜 모텔 얘기는 입을 꾹 다무노. 치사한 새끼.
궁금하지도 않은 카페랑 중국집 얘기는 디테일하게 해놓고. 왜 모텔 얘기는 입을 꾹 다무노. 치사한 새끼.,뭐 이 새끼야?
뭐 이 새끼야?,"야, 야, 아, 진짜 그만들 좀 해라 이 미친 놈들아."
"야, 야, 아, 진짜 그만들 좀 해라 이 미친 놈들아.","야, 기범아. 그 폰 한번 봐봐. 혹시 그 주연이한테 연락 안 왔니?"
"야, 기범아. 그 폰 한번 봐봐. 혹시 그 주연이한테 연락 안 왔니?",무슨 연락이 와? 헛된 희망 품지 마라.
무슨 연락이 와? 헛된 희망 품지 마라.,그래도 한 번 봐봐.
그래도 한 번 봐봐.,"알았다, 알았다, 알았어."
사장님이 세탁기 돌렸어요?,아니? 규한이가 돌렸나본데.
"뭐야, 이 자식. 달랑 팬티 한 장 돌린거야?",예?
예?,"아니 아무리 생각이 없어도 그렇지, 이게 웬 소름끼치는 물낭비, 전기낭비야?"
"아니 아무리 생각이 없어도 그렇지, 이게 웬 소름끼치는 물낭비, 전기낭비야?",그러게요.
그러게요.,"안 되겠어, 내가 이 자식을 그냥."
"안 되겠어, 내가 이 자식을 그냥.","아니야, 아니야. 작업하고 있을텐데, 놔둬요."
"아니야, 아니야. 작업하고 있을텐데, 놔둬요.",뭐?
뭐?,"아니 뭐, 그래도 나름, 제가 말한 건 지키려고 그런거잖아요."
"아니 뭐, 그래도 나름, 제가 말한 건 지키려고 그런거잖아요.","영자씨, 진짜 왜 그래?"
"영자씨, 진짜 왜 그래?",네?
네?,"아니, 마음이 넓어도 정도가 있지. 무슨 태평양 한복판도 아니고. 영자씨 천사야, 천사? 어디 봐봐 등에 날개달렸나 보자."
"아니, 마음이 넓어도 정도가 있지. 무슨 태평양 한복판도 아니고. 영자씨 천사야, 천사? 어디 봐봐 등에 날개달렸나 보자.","괜찮아요? 아유, 그러게 왜."
윤차장님 정말 괜찮으시겠어요? 시안은 저 혼자 보여드려도 되는데.,아니야. 나보고 일 주시는건데. 진통제 센 걸로 먹어서 괜찮아.
아니야. 나보고 일 주시는건데. 진통제 센 걸로 먹어서 괜찮아.,"아닌데. 진통제 센 거 먹어서 괜찮은 게 아니라, 눈이 헤롱헤롱 풀리셨는데."
"아닌데. 진통제 센 거 먹어서 괜찮은 게 아니라, 눈이 헤롱헤롱 풀리셨는데.",그래? 어때? 괜찮지?
그래? 어때? 괜찮지?,"아이고 이거 미안합니다, 이거. 리모델링 마무리 때문에 바빠서. 그리고 이쪽에 내 딸이에요. 내가 디자인을 잘 몰라서, 미술 전공한 딸한테 봐달라고 했지."
"아이고 이거 미안합니다, 이거. 리모델링 마무리 때문에 바빠서. 그리고 이쪽에 내 딸이에요. 내가 디자인을 잘 몰라서, 미술 전공한 딸한테 봐달라고 했지.","아, 예."
"아, 예.",저희가 디자인한 입점상가 간판들이랑 리모델링 홍보물 시안입니다.
저희가 디자인한 입점상가 간판들이랑 리모델링 홍보물 시안입니다.,"아, 네. 네가 봐."
이건 입간판인가요?,"네, 거기 뒤에 다른 버전도 있습니다."
"네, 거기 뒤에 다른 버전도 있습니다.",어? 지금 뭐하시는 거예요?
어? 지금 뭐하시는 거예요?,"아니, 저, 그게 아니라, 저..."
"아니, 저, 그게 아니라, 저...",변태새끼.
변태새끼.,윤차장! 그렇게 안 봤는데 못 쓰겠구만 그거.
맛있어? 엄마가 해준거보다 더 맛있지?,솔직히
솔직히,그래 
그래 ,아 이 집 아는 집이야?
아 이 집 아는 집이야?,그럼요 맨날 오죠
맥주는 내가 살게,아니야 내가 살게 여기 계산할게요
아니야 내가 살게 여기 계산할게요,잠시만요
언니가 계산하실거에요?,네
네,아이 저 여기요 
아이 저 여기요 ,저기 거스름돈이요
저기 거스름돈이요,내가 갖다줄게요
내가 갖다줄게요,근데 누구세요 이 동네에서 못보던 분인데 
근데 누구세요 이 동네에서 못보던 분인데 ,아 우리 빌라 사는애
아 우리 빌라 사는애,아아
아아,수고해요
수고해요,네
네,어휴 거스름돈을 안받아가면 어떡해
어휴 거스름돈을 안받아가면 어떡해,저 여자 잘알아? 둘이 아는 사이 같던데 친해? 혹시 남친 있데? 
"아, 저기, 다 찍었으면 적당히 하고 내려오죠?","아, 네. 죄송해요. 어, 이만 내려갈게요."
안녕하세요 사장님 새해복 많이 받으세요,아 이사장 올해도 잘 부탁해요
아 이사장 올해도 잘 부탁해요,올해가 황금 개띠해라길래 저희가 돈 많이 버시라고 저금통 만들어 왔는데요
올해가 황금 개띠해라길래 저희가 돈 많이 버시라고 저금통 만들어 왔는데요,고마워라 가만있자 주방에 놔둬야겠네
고마워라 가만있자 주방에 놔둬야겠네,아니요 아 왜 저금통을 주방에 여기 카운터에 놓고 쓰시라규요
아니요 아 왜 저금통을 주방에 여기 카운터에 놓고 쓰시라규요,아이 그러세요 저희가 직원분들 드리라고 넉넉하게 챙겨왔습니다
아이 그러세요 저희가 직원분들 드리라고 넉넉하게 챙겨왔습니다,영길이 아빠 우리 전단지 그 낙원사라는데에다가 맡겼다고 하지 않았어?
영길이 아빠 우리 전단지 그 낙원사라는데에다가 맡겼다고 하지 않았어?,어 그랬지
어 그랬지,아서 아서 거기서 새해 판촉물로 이런걸 만들어서 돌렸대잖아 이런데에서 전단지 퍽이나 잘 뽑겠어?
아서 아서 거기서 새해 판촉물로 이런걸 만들어서 돌렸대잖아 이런데에서 전단지 퍽이나 잘 뽑겠어?,저흰 이만 가보겠습니다 안녕히 계세요
작가님 오늘 점심 뭘로 할까요? 깁스 푼 기념으로 오늘은 작가님이 드시고 싶으신걸로,아니야 맨날 내가 먹고 싶은 걸로만 먹지 말고 오늘은 수발이 네가 먹고 싶은 걸로 먹자
아니야 맨날 내가 먹고 싶은 걸로만 먹지 말고 오늘은 수발이 네가 먹고 싶은 걸로 먹자,아 진짜요? 저는 아무거나 괜찮은데
아 진짜요? 저는 아무거나 괜찮은데,아니야 진짜 네가 골라봐 아 추워 빨리
아니야 진짜 네가 골라봐 아 추워 빨리,어 그럼 오늘은 간만에 중국집은 싫구요 어 그럼 오랜만에 느끼한 크림파스타는 정말 정말 질색팔색이구요 그럼 혹시 뼈해장국?
어 그럼 오늘은 간만에 중국집은 싫구요 어 그럼 오랜만에 느끼한 크림파스타는 정말 정말 질색팔색이구요 그럼 혹시 뼈해장국?,너도 그게 땡겼어? 와 우린 어쩜 이렇게 입맛까지 잘 맞니? 응?
너도 그게 땡겼어? 와 우린 어쩜 이렇게 입맛까지 잘 맞니? 응?,그러게나 말입니다 작가님
그러게나 말입니다 작가님,작은 사장님은?
작은 사장님은?,아 판촉물 돌리고 점심 따로 드시고 오신대요 어
아 판촉물 돌리고 점심 따로 드시고 오신대요 어,어 이작가님 식사하러 가세요?
어 이작가님 식사하러 가세요?,안녕하세요
안녕하세요,안녕하세요
안녕하세요,그럼 저흰 먼저 가보겠습니다 요 앞에 해장국집 가기로 했거든요
그럼 저흰 먼저 가보겠습니다 요 앞에 해장국집 가기로 했거든요,어 저희도 해장국 먹으러 갈건데 이심전심이네요
어 저희도 해장국 먹으러 갈건데 이심전심이네요,그래 같이 가면 되겠네 
그래 같이 가면 되겠네 ,뭐 전 괜찮은데요 혹시 누가 불편해할까봐
뭐 전 괜찮은데요 혹시 누가 불편해할까봐,오빠 괜찮으심 저도 상관없어요
오빠 괜찮으심 저도 상관없어요,오빠?
오빠?,웬 오빠?
웬 오빠?,예전부터 알던 사이거든요 
예전부터 알던 사이거든요 ,어머 그래? 어떻게 알던 사인데?
어머 그래? 어떻게 알던 사인데?,제 첫사랑 오빠에요
제 첫사랑 오빠에요,아 첫사랑 첫사랑?
아 첫사랑 첫사랑?,첫사랑이요?
엄마 잘하지? 아휴 우리때는 이런거 꿈도 못꿨다 요새는 참 좋아 세상 좋아졌어 맛있니?,도넛보다 맛있다
도넛보다 맛있다,그거봐 
차 빼달라네 갔다올게 먹고 있어 내꺼 남겨놔 제발,알았어요 
영애씨 디자인을 베... 베꼈다고요.,뭐? 아후... 그런 거였어? 아휴 아휴 다행이다. 난 또 두 사람 바람난 줄 알고 얼마나 걱정했다고.
뭐? 아후... 그런 거였어? 아휴 아휴 다행이다. 난 또 두 사람 바람난 줄 알고 얼마나 걱정했다고.,뭐라고요? 아 이 인간 진짜 웃긴 인간이네? 날 뭘로 보고. 그 드러운 상사 그 드러운 주둥아리! 너 너 너 너 너!
뭐라고요? 아 이 인간 진짜 웃긴 인간이네? 날 뭘로 보고. 그 드러운 상사 그 드러운 주둥아리! 너 너 너 너 너!,아 난 둘이 하도 붙어다니길래 그랬지.
아 난 둘이 하도 붙어다니길래 그랬지.,그건 조사장이 영애씨 캐릭터로 포스터 만들라고 협박해서 어쩔 수 없이...
그건 조사장이 영애씨 캐릭터로 포스터 만들라고 협박해서 어쩔 수 없이...,그게 무슨 소리야?
그게 무슨 소리야?,저..저... 전무님. 저.. 저.. 전무님.
저..저... 전무님. 저.. 저.. 전무님.,다시 말해봐. 조사장이 뭘 어쨌다고?
띠로리. 술집에 두고 왔는 갑다.,뭐 이 새끼야? 이 새끼가 진짜.
뭐 이 새끼야? 이 새끼가 진짜.,정말 못 보셨어요? 핸드폰이랑 지갑이요.
정말 못 보셨어요? 핸드폰이랑 지갑이요.,응답하라 소품 같은 구닥다리 폰에 돈을 꺼내가긴 커녕 다시 넣어주고 싶게 생긴 다 떨어진 지갑이거든요.
응답하라 소품 같은 구닥다리 폰에 돈을 꺼내가긴 커녕 다시 넣어주고 싶게 생긴 다 떨어진 지갑이거든요.,"아, 못 봤다니까요."
"아, 못 봤다니까요.",못 봤대.
못 봤대.,"야. 야, 너 아까 화장실 가더니 거기 둔 거 아니야? 그래, 동영아. 거기 있을 거야. 내가 가서 찾아볼게."
"야. 야, 너 아까 화장실 가더니 거기 둔 거 아니야? 그래, 동영아. 거기 있을 거야. 내가 가서 찾아볼게.",가봐라
가봐라,이씨
이씨,"아니, 대체 어떤 그지같은 새끼가 그런 그지같은 걸 가 갖노. 맞제?"
"아니, 대체 어떤 그지같은 새끼가 그런 그지같은 걸 가 갖노. 맞제?","아, 놔라. 돌았나, 임마. 사주면 되잖아."
"아, 놔라. 돌았나, 임마. 사주면 되잖아.",새로 사주는 게 문제냐? 그 사이에 주연이한테 연락왔으면 어떡해. 용기내서 겨우 전화 걸었는데 내가 일부러 안 받은 거라고 생각하면 어떡하냐고!
새로 사주는 게 문제냐? 그 사이에 주연이한테 연락왔으면 어떡해. 용기내서 겨우 전화 걸었는데 내가 일부러 안 받은 거라고 생각하면 어떡하냐고!,"야, 헛된 희망 품지 말라니까. 주연이 너한테 연락 안 해, 새끼야."
"야, 헛된 희망 품지 말라니까. 주연이 너한테 연락 안 해, 새끼야.","네가 그걸 어떻게 단정해, 어?"
"네가 그걸 어떻게 단정해, 어?",어떻게 단정하긴. 니를 보면 답이 딱 나오지. 주연이도 오죽 지긋지긋했겠나. 공시생 뒷바라지가.
어떻게 단정하긴. 니를 보면 답이 딱 나오지. 주연이도 오죽 지긋지긋했겠나. 공시생 뒷바라지가.,뭐 이 새끼야?
뭐 이 새끼야?,취직까지 했다던데 카면 벌써 딴 놈 생겼겠네. 니 그렇게 좋아하던 그 얼굴 그 가슴. 벌써 딴 놈거 됐을 거라고.
취직까지 했다던데 카면 벌써 딴 놈 생겼겠네. 니 그렇게 좋아하던 그 얼굴 그 가슴. 벌써 딴 놈거 됐을 거라고.,뭐가 어째!
뭐가 어째!,"이 새끼가 뭐하노, 임마. 아, 사람들 보잖아, 이 새끼야. 놔라잉."
다 끓은 것 같은데 이제 먹죠,네
왠 와인동굴이에요?,강의 취소되서 실망한 것 같길래 기분 풀라고 데려온 겁니다 와보고 싶어 하는 것 같길래 
강의 취소되서 실망한 것 같길래 기분 풀라고 데려온 겁니다 와보고 싶어 하는 것 같길래 ,네?
네?,아 실망한채로 있으면 기분 다운될거고 그럼 내 종합반 강의도 기분다운된 채로 할거 아닙니까 기분전환 확실히 하고 강의 잘하세요
아 실망한채로 있으면 기분 다운될거고 그럼 내 종합반 강의도 기분다운된 채로 할거 아닙니까 기분전환 확실히 하고 강의 잘하세요,감사합니다 절 위해서 이렇게 까지
감사합니다 절 위해서 이렇게 까지,아 누가 노그래씨 위해섭니까? 내 종합반위해섭니다 종합반 관리 차원에서 데리고 온거라고요
아 누가 노그래씨 위해섭니까? 내 종합반위해섭니다 종합반 관리 차원에서 데리고 온거라고요,절 위해서든 종합반 위해서든 암튼 감사해요
근데 왜 동굴에다가 와인창고를 만들까요?,원래 와인은 11-14도에서 보관하는게 제일 좋은데 동굴은 365일 내내 그 온도를 유지하니까요 
원래 와인은 11-14도에서 보관하는게 제일 좋은데 동굴은 365일 내내 그 온도를 유지하니까요 ,우와 진교수님은 모르는게 없으시네요
우와 진교수님은 모르는게 없으시네요,네 그게 저도 신기합니다
네 그게 저도 신기합니다,아 근데 동굴이라 그런지 좀 춥네
자 입어요,네?
네?,아 지금 내가 지금  너무 더워서 겉옷이 무진장 거추장스러우니까 이것 좀 나대신 입고 있으라고요 
아 지금 내가 지금  너무 더워서 겉옷이 무진장 거추장스러우니까 이것 좀 나대신 입고 있으라고요 ,그래도
그래도,싫음 말던가
싫음 말던가,어 아니에요
누구세요?,저에요. 진이.
저에요. 진이.,밖에 너무 많이 춥지. 왠일이야?
밖에 너무 많이 춥지. 왠일이야?,이 통 돌려드리려구요. 만두 너무 잘먹었어요. 언니. 빈 통 드리기 그래서 제가 직접 구운 쿠키 좀 가져왔어요.
이 통 돌려드리려구요. 만두 너무 잘먹었어요. 언니. 빈 통 드리기 그래서 제가 직접 구운 쿠키 좀 가져왔어요.,고마워. 우리 애들이 정말 좋아하겠다. 잘됐다. 점심 먹고가. 아들들 아들들 누나한테 인사 안해?
고마워. 우리 애들이 정말 좋아하겠다. 잘됐다. 점심 먹고가. 아들들 아들들 누나한테 인사 안해?,안녕? 안녕?
안녕? 안녕?,엄마 나 그 쿠키 먹을래.
엄마 나 그 쿠키 먹을래.,안돼 다 내꺼야.
안돼 다 내꺼야.,동혁아 형이랑 사이좋게 나눠 먹어야지.
동혁아 형이랑 사이좋게 나눠 먹어야지.,싫어 내꺼야. 손 대지마.
